DATE,AMOUNT,DESCRIPTION,CATEGORY,CATEGORY GROUP,ACCOUNT,TO ACCOUNT,PROJECT,NOTES
"2021-11-11",-25.4,"WWW.CLANIHC.COM COLINDALE","Ice Hockey","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-11-11",-141,"PREMIER INN44015905 GUILDFORD 55541961315529000092412","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",
"2021-11-11",-110,"PREMIER INN44521880 DERBY 55541961315529000192022","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",
"2021-11-10",-4.75,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",
"2021-11-10",-37.7,"WWW.FREEDOM-LEISURE.CO INTERNET GBR 05272471314910040038246","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",
"2021-11-09",-38.04,"Direct debit PAYPAL PAYMENT 609242 40317401","Work expenses","Income","070436 XXXX9656","N/A","N/A",
"2021-11-08",-36,"B & Q 1361 PERTH","Home improvement","Household","489396XXXXXX2001","N/A","N/A",
"2021-11-08",19.69,"DIRECT DEBIT RECEIVED, THANK YOU 0512687130700000001008","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",
"2021-11-08",-19.69,"Direct debit SAINSBURYS BANK PL 400250 41418467","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",
"2021-11-08",-15,"BELFAST GIANTS BELFAST","Ice Hockey","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-11-08",-61.28,"TESCO PFS 4166 DUNDEE","Fuel","Transport","489396XXXXXX2001","N/A","N/A",
"2021-11-08",-10.95,"CHILLI PEPPER PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-11-08",-2.49,"WH SMITH NINEWELLS","Groceries","Shopping","489396XXXXXX2001","N/A","N/A",
"2021-11-05",-113.1,"Direct debit V12 RETAIL FINANCE 200816 70025127","Loans","Repayments","070436 XXXX9656","N/A","N/A",
"2021-11-04",-189.99,"AMZNMKTPLACE AMAZON.CO.UKAMAZON.CO.UK","Office costs","Business","489396XXXXXX2001","N/A","N/A",
"2021-11-03",-25,"Standing order MORTGAGE 070094 44444445","Mortgages","Repayments","070436 XXXX9656","N/A","N/A",
"2021-11-03",-1.7,"PERTH & KINROSS COUNCI PERTH NW","Travel","Transport","489396XXXXXX2001","N/A","N/A",
"2021-11-03",-874.34,"To mortgage a/c A MACNAIR 72663742203","Mortgages","Repayments","070436 XXXX9656","N/A","N/A",
"2021-11-03",-46.97,"B & Q 1361 PERTH","Home improvement","Household","489396XXXXXX2001","N/A","N/A",
"2021-11-03",-6.84,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",
"2021-11-03",-22.47,"Direct debit L&G COLLECTIONS 560061 45012318","Tanski","Gifts and giving","070436 XXXX9656","N/A","N/A",
"2021-11-03",-24.35,"Direct debit AIG LIFE LTD 400250 81392549","Household insurance","Bills and utilities","070436 XXXX9656","N/A","N/A",
"2021-11-03",-94.9,"Direct debit OCTOPUS ENERGY 400328 43807509","Utilities","Bills and utilities","070436 XXXX9656","N/A","N/A",
"2021-11-03",-135.14,"Direct debit BT GROUP PLC 200000 10596159","TV & internet","Bills and utilities","070436 XXXX9656","N/A","N/A",
"2021-11-01",-23.95,"NAWAAB OF PERTH PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-11-01",-250,"ATM Withdrawal Notemachine Ltd","Home improvement","Household","070436 XXXX9656","N/A","N/A","This was for the painter"
"2021-11-01",-100,"Macnair","Home improvement","Household","070436 XXXX9656","N/A","N/A","Painter"
"2021-11-01",-13,"Payment to DIRECT SHINE 2021-10-31","Home maintenance","Household","070436 XXXX9656","N/A","N/A",
"2021-11-01",-229.3,"Standing order PERTH & KINROSS CO 834700 11570174","Council Tax","Household","070436 XXXX9656","N/A","N/A",
"2021-11-01",-289.85,"Direct debit RCIFINSERV-OMEGA 601732 10616098","Car Loan","Transport","070436 XXXX9656","N/A","N/A",
"2021-10-31",-13,"Monthly Account Fee","Service fees & bank charges","Bills and utilities","070436 XXXX9656","N/A","N/A",
"2021-10-29",-11.04,"AMZNMktplace amazon.co.uk","Work expenses","Income","489396XXXXXX2001","N/A","N/A",
"2021-10-29",-16.49,"HPI INSTANT INK UK WWW.HP.COM","Printing","Business","489396XXXXXX2001","N/A","N/A",
"2021-10-28",-66.9,"Direct debit EE LIMITED 400250 41254987","Telephone & mobile","Bills and utilities","070436 XXXX9656","N/A","N/A",
"2021-10-28",-15.06,"AMZNMktplace amazon.co.uk","Home improvement","Household","489396XXXXXX2001","N/A","N/A",
"2021-10-28",-13.5,"3C_*BRITANNIA PARKING - EDINBURGH","Work expenses","Income","489396XXXXXX2001","N/A","N/A",
"2021-10-28",-0.9,"SELECTA UK GBP BASINGSTOKE","Work expenses","Income","489396XXXXXX2001","N/A","N/A",
"2021-10-28",-466.54,"TM *TICKETMASTER 800-653-8000 CA USD 640.70 at 1.3733","June","Gifts and giving","489396XXXXXX2001","N/A","N/A",
"2021-10-27",-3.1,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",
"2021-10-27",-50,"ATM Withdrawal LINK","Work expenses","Income","070436 XXXX9656","N/A","N/A",
"2021-10-26",-8.99,"AMZNMktplace amazon.co.uk","Tanski","Gifts and giving","489396XXXXXX2001","N/A","N/A",
"2021-10-26",-12,"CRV 1 AND 1 IONOS LTD London","TV & internet","Bills and utilities","489396XXXXXX2001","N/A","N/A",
"2021-10-25",-22.55,"CHILLI PEPPER PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-10-25",-1,"NYA*Air-Serv 01942722333","Car running costs","Transport","489396XXXXXX2001","N/A","N/A",
"2021-10-25",-39.99,"CrocsEU Den Haag","Clothing & shoes","Household","489396XXXXXX2001","N/A","N/A",
"2021-10-22",-11.49,"Direct debit PAYPAL PAYMENT 609242 40317401","June","Gifts and giving","070436 XXXX9656","N/A","N/A",
"2021-10-22",80,"PAYMENT RECEIVED - THANK YOU 020707043605369656GBP","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",
"2021-10-22",-13.99,"AMZNMktplace amazon.co.uk","General merchandise","Shopping","489396XXXXXX2001","N/A","N/A",
"2021-10-22",3450,"Transfer from A MACNAIR 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",
"2021-10-22",-3450,"MY NATIONWIDE","Transfers","Transfers","Mr Alistair MacNair","N/A","N/A",
"2021-10-22",-59.9,"AMZNMktplace amazon.co.uk","June","Gifts and giving","489396XXXXXX2001","N/A","N/A",
"2021-10-22",37,"Bank credit A MacNair 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",
"2021-10-22",-37,"ALISTAIR MACNAIR 500000000832989979","Transfers","Transfers","Mr Alistair MacNair","N/A","N/A",
"2021-10-22",-41.96,"CRV Westburns Limited 01London","June","Gifts and giving","489396XXXXXX2001","N/A","N/A",
"2021-10-22",-80,"Payment to SAINSBURYS CLASSIC","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",
"2021-10-22",400,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",
"2021-10-22",-400,"Payment to SELECT CREDIT CARD","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",
"2021-10-22",-0.6,"Transfer to 0572/338202187","Savings","Cash","070436 XXXX9656","N/A","N/A",
"2021-10-20",3479.87,"LLOYDS BANK PLC 80043777","Salary","Income","Mr Alistair MacNair","N/A","N/A",
"2021-10-20",-45,"B & Q 1361 PERTH","Home improvement","Household","489396XXXXXX2001","N/A","N/A",
"2021-10-20",-37.4,"Visa purchase SP * LUCIE DECOR GOOGLE 5580","Samantha","Gifts and giving","070436 XXXX9656","N/A","N/A",
"2021-10-20",-3.1,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",
"2021-10-20",-14.99,"Direct debit PAYPAL PAYMENT 609242 40317401","Online services","Bills and utilities","070436 XXXX9656","N/A","N/A",
"2021-10-19",-11.99,"GOOGLE *YouTubePremium g.co/helppay#","Online services","Bills and utilities","489396XXXXXX2001","N/A","N/A",
"2021-10-18",-800,"Payment to SELECT CREDIT CARD 2021-10-16","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",
"2021-10-18",-12.07,"B & Q 1361 PERTH","Home improvement","Household","489396XXXXXX2001","N/A","N/A",
"2021-10-18",-200,"Payment to JUNE MACNAIR 2021-10-17","June","Gifts and giving","070436 XXXX9656","N/A","N/A",
"2021-10-18",-27.05,"CHILLI PEPPER PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-10-18",800,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",
"2021-10-14",-20.99,"AMZNMktplace amazon.co.uk","Tanski","Gifts and giving","489396XXXXXX2001","N/A","N/A",
"2021-10-14",-13.99,"AMZNMktplace amazon.co.uk","Home improvement","Household","489396XXXXXX2001","N/A","N/A",
"2021-10-14",-29.99,"AMZNMktplace amazon.co.uk","Work expenses","Income","489396XXXXXX2001","N/A","N/A",
"2021-10-14",-7.95,"EQUIFAX LTD EQUIFAX.CO.UK","Insurance","Household","489396XXXXXX2001","N/A","N/A",
"2021-10-14",-9.98,"AMZN DIGITAL*QQ4I86BB5 3535312477661","June","Gifts and giving","489396XXXXXX2001","N/A","N/A",
"2021-10-13",-3.1,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",
"2021-10-13",-16.2,"SUMUP *HAPPY VALLEY TAKEPERTH,","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-10-12",-12.36,"INTEREST CHARGED","Service fees & bank charges","Bills and utilities","MR ALISTAIR MACNAIR","N/A","N/A",
"2021-10-12",-10.99,"AMZNMktplace amazon.co.uk","Home improvement","Household","489396XXXXXX2001","N/A","N/A",
"2021-10-12",-15.74,"WM MORRISONS STORE PERTH","Groceries","Shopping","489396XXXXXX2001","N/A","N/A",
"2021-10-12",-39.41,"MERCHANDISE INTEREST","Service fees & bank charges","Bills and utilities","489396XXXXXX2001","N/A","N/A",
"2021-10-11",-8.89,"SUBWAY @ MFG BROXDEN PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-10-11",-9.4,"THE FISH & CHIP COMPANY AUCHTERARDER","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-10-11",-13.6,"WM MORRISONS STORE PERTH","Groceries","Shopping","489396XXXXXX2001","N/A","N/A",
"2021-10-11",-11.95,"CHILLI PEPPER PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-10-11",-36.25,"WM MORRISONS STORE PERTH","Groceries","Shopping","489396XXXXXX2001","N/A","N/A",
"2021-10-09",-35.5,"Contactless Payment SUMUP *LAURAS AVON","June","Gifts and giving","070436 XXXX9656","N/A","N/A",
"2021-10-08",16.87,"DIRECT DEBIT RECEIVED, THANK YOU 0512687127800000000686","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",
"2021-10-08",-42,"CHERRYBANK GARAGE PERTH","Car running costs","Transport","489396XXXXXX2001","N/A","N/A",
"2021-10-08",-16.87,"Direct debit SAINSBURYS BANK PL 400250 41418467","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",
"2021-10-08",-13,"Payment to DIRECT SHINE","Home maintenance","Household","070436 XXXX9656","N/A","N/A",
"2021-10-06",-17.28,"SUBWAY @ MFG BROXDEN PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-10-06",-3.1,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",
"2021-10-06",-4.58,"SPAR STANLEY","Groceries","Shopping","489396XXXXXX2001","N/A","N/A",
"2021-10-06",-10.1,"MARINI'S PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-10-06",-34.7,"WICKES PERTH PERTH","Home improvement","Household","489396XXXXXX2001","N/A","N/A",
"2021-10-05",-113.1,"Direct debit V12 RETAIL FINANCE 200816 70025127","Loans","Repayments","070436 XXXX9656","N/A","N/A",
"2021-10-05",-26.48,"AMZNMktplace amazon.co.uk","Home improvement","Household","489396XXXXXX2001","N/A","N/A",
"2021-10-05",-14.99,"AMZNMktplace amazon.co.uk","Home improvement","Household","489396XXXXXX2001","N/A","N/A",
"2021-10-05",-3.49,"GOOGLE Google London","Online services","Bills and utilities","489396XXXXXX2001","N/A","N/A",
"2021-10-04",-25,"Standing order MORTGAGE 070094 44444445 2021-10-03","Mortgages","Repayments","070436 XXXX9656","N/A","N/A",
"2021-10-04",-17.6,"SUMUP *HAPPY VALLEY TAKEPERTH,","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-10-04",-874.34,"To mortgage a/c A MACNAIR 72663742203 2021-10-03","Mortgages","Repayments","070436 XXXX9656","N/A","N/A",
"2021-10-04",400,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",
"2021-10-04",-20,"Direct debit FAMILY EQUITY PLAN 600001 36238007","Liam","Gifts and giving","070436 XXXX9656","N/A","N/A",
"2021-10-04",-17.99,"SuperDry Cheltenham","Clothing & shoes","Household","489396XXXXXX2001","N/A","N/A",
"2021-10-04",-22.47,"Direct debit L&G COLLECTIONS 560061 45012318","Tanski","Gifts and giving","070436 XXXX9656","N/A","N/A",
"2021-10-04",-20.7,"CHILLI PEPPER PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-10-04",-24.35,"Direct debit AIG LIFE LTD 400250 81392549","Household insurance","Bills and utilities","070436 XXXX9656","N/A","N/A",
"2021-10-04",-51.14,"W M MORRISON PETRO PERTH","Fuel","Transport","489396XXXXXX2001","N/A","N/A",
"2021-10-04",-94.9,"Direct debit OCTOPUS ENERGY 400328 43807509","Utilities","Bills and utilities","070436 XXXX9656","N/A","N/A",
"2021-10-04",-9.89,"AMZNMktplace amazon.co.uk","June","Gifts and giving","489396XXXXXX2001","N/A","N/A",
"2021-10-04",-135.14,"Direct debit BT GROUP PLC 200000 10596159","TV & internet","Bills and utilities","070436 XXXX9656","N/A","N/A",
"2021-10-02",-400,"Payment to SELECT CREDIT CARD","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",
"2021-10-01",-8.39,"SUBWAY @ MFG BROXDEN PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-10-01",-229.3,"Standing order PERTH & KINROSS CO 834700 11570174","Council Tax","Household","070436 XXXX9656","N/A","N/A",
"2021-10-01",-65.63,"W M MORRISON PETRO PERTH","Fuel","Transport","489396XXXXXX2001","N/A","N/A",
"2021-10-01",-289.85,"Direct debit RCIFINSERV-OMEGA 601732 10616098","Car Loan","Transport","070436 XXXX9656","N/A","N/A",
"2021-09-30",-14,"CRV TSHIRT STUDIO INTERNET","Car running costs","Transport","489396XXXXXX2001","N/A","N/A",
"2021-09-30",-13,"Monthly Account Fee","Service fees & bank charges","Bills and utilities","070436 XXXX9656","N/A","N/A",
"2021-09-29",-16.49,"HPI INSTANT INK UK WWW.HP.COM","Printing","Business","489396XXXXXX2001","N/A","N/A",
"2021-09-29",-3.1,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",
"2021-09-28",-65.87,"Direct debit EE LIMITED 400250 41254987","Telephone & mobile","Bills and utilities","070436 XXXX9656","N/A","N/A",
"2021-09-27",-23.7,"CHILLI PEPPER PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-09-27",-1.19,"SPAR STANLEY","Groceries","Shopping","489396XXXXXX2001","N/A","N/A",
"2021-09-27",-7.12,"AMZNMktplace amazon.co.uk","June","Gifts and giving","489396XXXXXX2001","N/A","N/A",
"2021-09-27",-79.99,"MCAFEE *WWW.MCAFEE.COM 0800-028-7581","Online services","Bills and utilities","489396XXXXXX2001","N/A","N/A",
"2021-09-24",-12,"Direct debit PAYPAL PAYMENT 609242 40317401","Online services","Bills and utilities","070436 XXXX9656","N/A","N/A",
"2021-09-23",-7.59,"AMZNMktplace amazon.co.uk","General merchandise","Shopping","489396XXXXXX2001","N/A","N/A",
"2021-09-23",-16.5,"SUMUP *HAPPY VALLEY TAKEPERTH,","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-09-22",-3450,"MY NATIONWIDE","Transfers","Transfers","Mr Alistair MacNair","N/A","N/A",
"2021-09-22",-3.1,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",
"2021-09-22",-25.67,"SUBWAY @ MFG BROXDEN PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-09-22",-50,"ALISTAIR MACNAIR 500000000818089467","Transfers","Transfers","Mr Alistair MacNair","N/A","N/A",
"2021-09-22",-14.99,"Direct debit PAYPAL PAYMENT 609242 40317401","Online services","Bills and utilities","070436 XXXX9656","N/A","N/A",
"2021-09-22",-11.43,"B & Q 1361 PERTH","Home improvement","Household","489396XXXXXX2001","N/A","N/A",
"2021-09-22",3450,"Transfer from A MACNAIR 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",
"2021-09-22",-14,"CRV DVLA DRIVER ONLINE London","Car running costs","Transport","489396XXXXXX2001","N/A","N/A",
"2021-09-22",-600,"Payment to SELECT CREDIT CARD","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",
"2021-09-22",-14,"CRV DVLA DRIVER ONLINE London","Car running costs","Transport","489396XXXXXX2001","N/A","N/A",
"2021-09-22",50,"Bank credit A MacNair 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",
"2021-09-22",600,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",
"2021-09-20",3479.46,"LLOYDS BANK PLC 80042542","Salary","Income","Mr Alistair MacNair","N/A","N/A",
"2021-09-20",-11.19,"Contactless Payment THE FISH AND CHIP CO","Eating out","Entertainment","070436 XXXX9656","N/A","N/A",
"2021-09-20",-11.99,"GOOGLE *YouTubePremium g.co/helppay#","Online services","Bills and utilities","489396XXXXXX2001","N/A","N/A",
"2021-09-20",-23,"PETS AT HOME LTD STOCK HANDFORTH","Tanski","Gifts and giving","489396XXXXXX2001","N/A","N/A",
"2021-09-20",-3.49,"GOOGLE Google London","Online services","Bills and utilities","489396XXXXXX2001","N/A","N/A",
"2021-09-20",-5.99,"GOOGLE Google London","Online services","Bills and utilities","489396XXXXXX2001","N/A","N/A",
"2021-09-20",-24.5,"WM MORRISONS STORE PERTH","Groceries","Shopping","489396XXXXXX2001","N/A","N/A",
"2021-09-18",-6,"Contactless Payment LEISURE AND CULTURE DU","Ice Hockey","Entertainment","070436 XXXX9656","N/A","N/A",
"2021-09-17",-12,"Amazon.co.uk*F47KO3IG5 AMAZON.CO.UK","General merchandise","Shopping","489396XXXXXX2001","N/A","N/A",
"2021-09-16",-44,"CRV DUNDEESTARS COM London","Ice Hockey","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-09-15",-3.1,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",
"2021-09-15",-20.5,"MARINI'S PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-09-14",-7.95,"EQUIFAX LTD EQUIFAX.CO.UK","Insurance","Household","489396XXXXXX2001","N/A","N/A",
"2021-09-13",-9.09,"INTEREST CHARGED","Service fees & bank charges","Bills and utilities","MR ALISTAIR MACNAIR","N/A","N/A",
"2021-09-13",17.45,"LLOYDS BANKING GRO","Salary","Income","Mr Alistair MacNair","N/A","N/A",
"2021-09-13",-33.09,"MERCHANDISE INTEREST","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",
"2021-09-10",-24.65,"AMZNMktplace amazon.co.uk","Garden","Household","489396XXXXXX2001","N/A","N/A",
"2021-09-09",-18.95,"CHILLI PEPPER PERTH","Eating out","Entertainment","489396XXXXXX2001","N/A","N/A",
"2021-09-08",-3.1,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",
"2021-09-08",-7.7,"WICKES PERTH PERTH","Home improvement","Household","489396XXXXXX2001","N/A","N/A",
"2021-09-08",-59.99,"Direct debit PAYPAL PAYMENT 609242 40317401","Online services","Bills and utilities","070436 XXXX9656","N/A","N/A",
"2021-09-07",-21.08,"B & Q 1361 PERTH","Home improvement","Household","489396XXXXXX2001","N/A","N/A",
"2021-09-07",-65.85,"CRV W M MORRISON PETROL London","Fuel","Transport","489396XXXXXX2001","N/A","N/A",
"2021-09-07",-104.2,"CRV Building Supplies OnlLondon","Home improvement","Household","489396XXXXXX2001","N/A","N/A",
"2021-09-06",5,"DIRECT DEBIT RECEIVED, THANK YOU 0512687124400000000346","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",
"2021-09-06",-5,"Direct debit SAINSBURYS BANK PL 400250 41418467","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",
